Produto;Preco Venda;Venda Qtd;Cidade;Latitude;Longitude;;
Queijo Processado;2,43;36;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,29;32;São Paulo;-23,55052;-46,63331;;
Chocolate;6,94;27;São Paulo;-23,55052;-46,63331;;
Amendoim;6,66;28;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,22;25;São Paulo;-23,55052;-46,63331;;
Chiclete;6,85;27;São Paulo;-23,55052;-46,63331;;
Presunto;9,39;22;São Paulo;-23,55052;-46,63331;;
Energético;9,47;22;São Paulo;-23,55052;-46,63331;;
Suco;7,95;25;São Paulo;-23,55052;-46,63331;;
Cereal;8,78;23;São Paulo;-23,55052;-46,63331;;
Cereal;3,16;35;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Campinas;-22,90994;-47,06263;;
Sorvete;7,67;26;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Araraquara;-21,78528;-48,17806;;
Cereal;2,85;35;São Paulo;-23,55052;-46,63331;;
Manteiga;4,96;31;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,43;32;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;6,42;28;São Paulo;-23,55052;-46,63331;;
Sorvete;3,94;33;São Paulo;-23,55052;-46,63331;;
Biscoito;2,52;36;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,53;34;São Paulo;-23,55052;-46,63331;;
Cup Noodles;3,42;34;São Paulo;-23,55052;-46,63331;;
Bala;6,9;27;São Paulo;-23,55052;-46,63331;;
Biscoito;3,88;33;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,64;36;São Paulo;-23,55052;-46,63331;;
Queijo Processado;3,64;34;São Paulo;-23,55052;-46,63331;;
Refrigerante;2,82;35;São Paulo;-23,55052;-46,63331;;
Suco;6,01;29;São Paulo;-23,55052;-46,63331;;
Manteiga;7,56;26;São Paulo;-23,55052;-46,63331;;
Biscoito;2,32;36;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,47;28;São Paulo;-23,55052;-46,63331;;
Presunto;8,95;23;São Paulo;-23,55052;-46,63331;;
Bala;9,15;23;São Paulo;-23,55052;-46,63331;;
Manteiga;7,25;27;São Paulo;-23,55052;-46,63331;;
Queijo Processado;4,7;32;São Paulo;-23,55052;-46,63331;;
Bala;5,51;30;São Paulo;-23,55052;-46,63331;;
Chiclete;6,04;29;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Jundiaí;-23,18548;-46,89784;;
Pão de Forma;5,7;30;São Paulo;-23,55052;-46,63331;;
Batata Chips;6,38;28;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Araraquara;-21,78528;-48,17806;;
Amendoim;3,64;34;São Paulo;-23,55052;-46,63331;;
Pão de Forma;2,78;35;São Paulo;-23,55052;-46,63331;;
Cereal;7,15;27;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Jundiaí;-23,18548;-46,89784;;
Amendoim;6,4;28;São Paulo;-23,55052;-46,63331;;
Amendoim;2,94;35;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,13;37;São Paulo;-23,55052;-46,63331;;
Bala;1,85;37;São Paulo;-23,55052;-46,63331;;
Cereal;6,07;29;São Paulo;-23,55052;-46,63331;;
Iogurte;2,09;37;São Paulo;-23,55052;-46,63331;;
Manteiga;7,66;26;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Ribeirão Preto;-21,17666;-47,82083;;
Energético;5,01;31;São Paulo;-23,55052;-46,63331;;
Presunto;7,15;27;São Paulo;-23,55052;-46,63331;;
Presunto;2,7;36;São Paulo;-23,55052;-46,63331;;
Suco;6,93;27;São Paulo;-23,55052;-46,63331;;
Batata Chips;5,63;30;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,59;34;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;6,01;29;São Paulo;-23,55052;-46,63331;;
Amendoim;4,95;31;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,89;27;São Paulo;-23,55052;-46,63331;;
Presunto;5,38;30;São Paulo;-23,55052;-46,63331;;
Pão de Forma;2,59;36;São Paulo;-23,55052;-46,63331;;
Queijo Processado;5,26;31;São Paulo;-23,55052;-46,63331;;
Energético;6,95;27;São Paulo;-23,55052;-46,63331;;
Pão de Forma;6,94;27;São Paulo;-23,55052;-46,63331;;
Chiclete;7,01;27;São Paulo;-23,55052;-46,63331;;
Batata Chips;4,59;32;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,2;27;São Paulo;-23,55052;-46,63331;;
Cup Noodles;7,08;27;São Paulo;-23,55052;-46,63331;;
Energético;3,73;34;São Paulo;-23,55052;-46,63331;;
Queijo Processado;2,64;36;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;5,38;30;São Paulo;-23,55052;-46,63331;;
Queijo Processado;5,82;29;São Paulo;-23,55052;-46,63331;;
Chiclete;5,94;29;São Paulo;-23,55052;-46,63331;;
Iogurte;1,76;38;São Paulo;-23,55052;-46,63331;;
Cup Noodles;7,25;27;São Paulo;-23,55052;-46,63331;;
Iogurte;6,7;28;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,72;26;São Paulo;-23,55052;-46,63331;;
Chocolate;1,93;37;São Paulo;-23,55052;-46,63331;;
Energético;2,84;35;São Paulo;-23,55052;-46,63331;;
Cereal;10,39;20;São Paulo;-23,55052;-46,63331;;
Café Solúvel;3,2;35;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,86;25;São Paulo;-23,55052;-46,63331;;
Presunto;1,99;37;São Paulo;-23,55052;-46,63331;;
Batata Chips;4,98;31;São Paulo;-23,55052;-46,63331;;
Biscoito;5,45;30;São Paulo;-23,55052;-46,63331;;
Energético;8,78;23;São Paulo;-23,55052;-46,63331;;
Queijo Processado;7,13;27;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;6,43;28;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,81;27;São Paulo;-23,55052;-46,63331;;
Queijo Processado;2,98;35;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,77;24;São Paulo;-23,55052;-46,63331;;
Batata Chips;5,37;30;São Paulo;-23,55052;-46,63331;;
Pão de Forma;2,16;37;São Paulo;-23,55052;-46,63331;;
Amendoim;3,33;34;São Paulo;-23,55052;-46,63331;;
Biscoito;2,7;36;São Paulo;-23,55052;-46,63331;;
Batata Chips;5,67;30;São Paulo;-23,55052;-46,63331;;
Manteiga;5,57;30;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Araraquara;-21,78528;-48,17806;;
Biscoito;7,73;26;São Paulo;-23,55052;-46,63331;;
Queijo Processado;3,52;34;São Paulo;-23,55052;-46,63331;;
Chocolate;6,26;29;São Paulo;-23,55052;-46,63331;;
Iogurte;3,53;34;São Paulo;-23,55052;-46,63331;;
Suco;7,32;26;São Paulo;-23,55052;-46,63331;;
Chocolate;2,71;36;São Paulo;-23,55052;-46,63331;;
Pão de Forma;5,51;30;São Paulo;-23,55052;-46,63331;;
Suco;6,56;28;São Paulo;-23,55052;-46,63331;;
Pão de Forma;10,49;20;São Paulo;-23,55052;-46,63331;;
Cereal;4,94;31;São Paulo;-23,55052;-46,63331;;
Amendoim;2,08;37;São Paulo;-23,55052;-46,63331;;
Sorvete;7,22;27;São Paulo;-23,55052;-46,63331;;
Amendoim;5,45;30;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;8,7;24;São Paulo;-23,55052;-46,63331;;
Biscoito;4,61;32;São Paulo;-23,55052;-46,63331;;
Presunto;6,33;28;São Paulo;-23,55052;-46,63331;;
Queijo Processado;6,44;28;São Paulo;-23,55052;-46,63331;;
Sorvete;3,65;34;São Paulo;-23,55052;-46,63331;;
Chiclete;7,35;26;São Paulo;-23,55052;-46,63331;;
Sorvete;5,98;29;São Paulo;-23,55052;-46,63331;;
Chocolate;6,44;28;São Paulo;-23,55052;-46,63331;;
Suco;3,09;35;São Paulo;-23,55052;-46,63331;;
Queijo Processado;7,38;26;São Paulo;-23,55052;-46,63331;;
Presunto;9,63;22;São Paulo;-23,55052;-46,63331;;
Bala;4,39;32;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;1,88;37;São Paulo;-23,55052;-46,63331;;
Refrigerante;2,33;36;São Paulo;-23,55052;-46,63331;;
Queijo Processado;9,43;22;São Paulo;-23,55052;-46,63331;;
Biscoito;1,92;37;São Paulo;-23,55052;-46,63331;;
Cup Noodles;9,71;22;São Paulo;-23,55052;-46,63331;;
Biscoito;7,53;26;São Paulo;-23,55052;-46,63331;;
Chiclete;5,56;30;São Paulo;-23,55052;-46,63331;;
Iogurte;3,62;34;São Paulo;-23,55052;-46,63331;;
Refrigerante;1,82;37;São Paulo;-23,55052;-46,63331;;
Bala;2,22;37;São Paulo;-23,55052;-46,63331;;
Chiclete;5,85;29;São Paulo;-23,55052;-46,63331;;
Biscoito;5,87;29;São Paulo;-23,55052;-46,63331;;
Suco;6,71;28;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;3,53;34;São Paulo;-23,55052;-46,63331;;
Cereal;7,29;26;São Paulo;-23,55052;-46,63331;;
Chocolate;6,68;28;São Paulo;-23,55052;-46,63331;;
Queijo Processado;7,31;26;São Paulo;-23,55052;-46,63331;;
Sorvete;2,23;37;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;São Paulo;-23,55052;-46,63331;;
Cereal;9,04;23;São Paulo;-23,55052;-46,63331;;
Iogurte;6,87;27;São Paulo;-23,55052;-46,63331;;
Cereal;6,87;27;São Paulo;-23,55052;-46,63331;;
Iogurte;4,79;31;São Paulo;-23,55052;-46,63331;;
Chocolate;7,24;27;São Paulo;-23,55052;-46,63331;;
Iogurte;5,83;29;São Paulo;-23,55052;-46,63331;;
Energético;9,14;23;São Paulo;-23,55052;-46,63331;;
Chiclete;5,29;30;São Paulo;-23,55052;-46,63331;;
Iogurte;5,19;31;São Paulo;-23,55052;-46,63331;;
Cereal;5,42;30;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;5,29;30;São Paulo;-23,55052;-46,63331;;
Queijo Processado;2,75;36;São Paulo;-23,55052;-46,63331;;
Suco;3,46;34;São Paulo;-23,55052;-46,63331;;
Café Solúvel;5,57;30;São Paulo;-23,55052;-46,63331;;
Cup Noodles;5,61;30;São Paulo;-23,55052;-46,63331;;
Sorvete;3,75;34;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,22;29;São Paulo;-23,55052;-46,63331;;
Suco;6,6;28;São Paulo;-23,55052;-46,63331;;
Suco;5,58;30;São Paulo;-23,55052;-46,63331;;
Chiclete;3,22;35;São Paulo;-23,55052;-46,63331;;
Cereal;8,34;24;São Paulo;-23,55052;-46,63331;;
Manteiga;9,7;22;São Paulo;-23,55052;-46,63331;;
Refrigerante;4,64;32;São Paulo;-23,55052;-46,63331;;
Manteiga;8,84;23;São Paulo;-23,55052;-46,63331;;
Suco;6,35;28;São Paulo;-23,55052;-46,63331;;
Bala;5,64;30;São Paulo;-23,55052;-46,63331;;
Bala;8,31;24;São Paulo;-23,55052;-46,63331;;
Chiclete;9,2;23;São Paulo;-23,55052;-46,63331;;
Chocolate;4,46;32;São Paulo;-23,55052;-46,63331;;
Café Solúvel;3,09;35;São Paulo;-23,55052;-46,63331;;
Chocolate;7,66;26;São Paulo;-23,55052;-46,63331;;
Sorvete;10,24;21;São Paulo;-23,55052;-46,63331;;
Queijo Processado;4,7;32;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,03;33;São Paulo;-23,55052;-46,63331;;
Biscoito;5,81;29;São Paulo;-23,55052;-46,63331;;
Manteiga;3,72;34;São Paulo;-23,55052;-46,63331;;
Bala;6,49;28;São Paulo;-23,55052;-46,63331;;
Sorvete;6,83;27;São Paulo;-23,55052;-46,63331;;
Chocolate;2,76;36;São Paulo;-23,55052;-46,63331;;
Presunto;7,27;27;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Campinas;-22,90994;-47,06263;;
Bolacha Recheada;6,5;28;São Paulo;-23,55052;-46,63331;;
Chocolate;1,82;37;São Paulo;-23,55052;-46,63331;;
Chocolate;6,66;28;São Paulo;-23,55052;-46,63331;;
Energético;3,55;34;São Paulo;-23,55052;-46,63331;;
Refrigerante;8,32;24;São Paulo;-23,55052;-46,63331;;
Pão de Forma;7,99;25;São Paulo;-23,55052;-46,63331;;
Presunto;10,24;21;São Paulo;-23,55052;-46,63331;;
Cup Noodles;5,33;30;São Paulo;-23,55052;-46,63331;;
Biscoito;7,86;25;São Paulo;-23,55052;-46,63331;;
Chiclete;5,34;30;São Paulo;-23,55052;-46,63331;;
Sorvete;6,28;28;São Paulo;-23,55052;-46,63331;;
Energético;8,48;24;São Paulo;-23,55052;-46,63331;;
Bala;8,97;23;São Paulo;-23,55052;-46,63331;;
Chocolate;5,55;30;São Paulo;-23,55052;-46,63331;;
Presunto;5,62;30;São Paulo;-23,55052;-46,63331;;
Chocolate;4,03;33;São Paulo;-23,55052;-46,63331;;
Pão de Forma;5,11;31;São Paulo;-23,55052;-46,63331;;
Manteiga;9,02;23;São Paulo;-23,55052;-46,63331;;
Chocolate;1,99;37;São Paulo;-23,55052;-46,63331;;
Iogurte;9,37;22;São Paulo;-23,55052;-46,63331;;
Sorvete;3,46;34;São Paulo;-23,55052;-46,63331;;
Chiclete;7,66;26;São Paulo;-23,55052;-46,63331;;
Biscoito;8,98;23;São Paulo;-23,55052;-46,63331;;
Sorvete;4,22;33;São Paulo;-23,55052;-46,63331;;
Presunto;6,66;28;São Paulo;-23,55052;-46,63331;;
Refrigerante;6,07;29;São Paulo;-23,55052;-46,63331;;
Bala;6,22;29;São Paulo;-23,55052;-46,63331;;
Refrigerante;7,57;26;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,66;34;São Paulo;-23,55052;-46,63331;;
Biscoito;9,17;23;São Paulo;-23,55052;-46,63331;;
Batata Chips;6,69;28;São Paulo;-23,55052;-46,63331;;
Sorvete;5,54;30;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;4,9;31;São Paulo;-23,55052;-46,63331;;
Chocolate;10,61;20;São Paulo;-23,55052;-46,63331;;
Batata Chips;5,46;30;São Paulo;-23,55052;-46,63331;;
Queijo Processado;3,42;34;São Paulo;-23,55052;-46,63331;;
Iogurte;3,92;33;São Paulo;-23,55052;-46,63331;;
Iogurte;4,75;32;São Paulo;-23,55052;-46,63331;;
Refrigerante;4,82;31;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Ribeirão Preto;-21,17666;-47,82083;;
Água Mineral;2;37;São Paulo;-23,55052;-46,63331;;
Batata Chips;6,43;28;São Paulo;-23,55052;-46,63331;;
Amendoim;4,62;32;São Paulo;-23,55052;-46,63331;;
Refrigerante;8,45;24;São Paulo;-23,55052;-46,63331;;
Chiclete;6;29;São Paulo;-23,55052;-46,63331;;
Sorvete;2,51;36;São Paulo;-23,55052;-46,63331;;
Refrigerante;3,97;33;São Paulo;-23,55052;-46,63331;;
Café Solúvel;4,03;33;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;5,35;30;São Paulo;-23,55052;-46,63331;;
Cereal;3,17;35;São Paulo;-23,55052;-46,63331;;
Refrigerante;9,47;22;São Paulo;-23,55052;-46,63331;;
Suco;9,07;23;São Paulo;-23,55052;-46,63331;;
Cup Noodles;3,31;34;São Paulo;-23,55052;-46,63331;;
Sorvete;5,74;30;São Paulo;-23,55052;-46,63331;;
Cup Noodles;2,77;36;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;7,6;26;São Paulo;-23,55052;-46,63331;;
Iogurte;4,75;32;São Paulo;-23,55052;-46,63331;;
Bala;2,66;36;São Paulo;-23,55052;-46,63331;;
Manteiga;5,48;30;São Paulo;-23,55052;-46,63331;;
Chocolate;9,18;23;São Paulo;-23,55052;-46,63331;;
Chocolate;5,06;31;São Paulo;-23,55052;-46,63331;;
Cup Noodles;3,41;34;São Paulo;-23,55052;-46,63331;;
Chocolate;6,76;28;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2;37;São Paulo;-23,55052;-46,63331;;
Sorvete;3,38;34;São Paulo;-23,55052;-46,63331;;
Pão de Forma;2,06;37;São Paulo;-23,55052;-46,63331;;
Sorvete;6,28;28;São Paulo;-23,55052;-46,63331;;
Manteiga;7,73;26;São Paulo;-23,55052;-46,63331;;
Cup Noodles;8,25;25;São Paulo;-23,55052;-46,63331;;
Suco;5,1;31;São Paulo;-23,55052;-46,63331;;
Refrigerante;5,69;30;São Paulo;-23,55052;-46,63331;;
Chiclete;8,53;24;São Paulo;-23,55052;-46,63331;;
Pão de Forma;5,74;30;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,3;34;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Jundiaí;-23,18548;-46,89784;;
Manteiga;2,76;36;São Paulo;-23,55052;-46,63331;;
Suco;2,35;36;São Paulo;-23,55052;-46,63331;;
Chiclete;10,08;21;São Paulo;-23,55052;-46,63331;;
Iogurte;3,83;33;São Paulo;-23,55052;-46,63331;;
Café Solúvel;9,07;23;São Paulo;-23,55052;-46,63331;;
Amendoim;3,46;34;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,57;28;São Paulo;-23,55052;-46,63331;;
Pão de Forma;6,23;29;São Paulo;-23,55052;-46,63331;;
Energético;4,26;33;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Campinas;-22,90994;-47,06263;;
Chiclete;3,48;34;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,29;26;São Paulo;-23,55052;-46,63331;;
Queijo Processado;6,69;28;São Paulo;-23,55052;-46,63331;;
Energético;8,94;23;São Paulo;-23,55052;-46,63331;;
Suco;7,98;25;São Paulo;-23,55052;-46,63331;;
Queijo Processado;6,16;29;São Paulo;-23,55052;-46,63331;;
Queijo Processado;4,2;33;São Paulo;-23,55052;-46,63331;;
Chiclete;4,06;33;São Paulo;-23,55052;-46,63331;;
Bala;2,14;37;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;7,84;25;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Ribeirão Preto;-21,17666;-47,82083;;
Batata Chips;7,83;25;São Paulo;-23,55052;-46,63331;;
Sorvete;7,01;27;São Paulo;-23,55052;-46,63331;;
Biscoito;9,01;23;São Paulo;-23,55052;-46,63331;;
Batata Chips;8,6;24;São Paulo;-23,55052;-46,63331;;
Chiclete;5,24;31;São Paulo;-23,55052;-46,63331;;
Sorvete;4,85;31;São Paulo;-23,55052;-46,63331;;
Cup Noodles;6,65;28;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,13;35;São Paulo;-23,55052;-46,63331;;
Cup Noodles;5,81;29;São Paulo;-23,55052;-46,63331;;
Manteiga;1,84;37;São Paulo;-23,55052;-46,63331;;
Cup Noodles;3,27;35;São Paulo;-23,55052;-46,63331;;
Biscoito;6,18;29;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,89;31;São Paulo;-23,55052;-46,63331;;
Batata Chips;3,24;35;São Paulo;-23,55052;-46,63331;;
Cup Noodles;7,34;26;São Paulo;-23,55052;-46,63331;;
Bala;3,88;33;São Paulo;-23,55052;-46,63331;;
Queijo Processado;4,95;31;São Paulo;-23,55052;-46,63331;;
Batata Chips;2,91;35;São Paulo;-23,55052;-46,63331;;
Cup Noodles;2,83;35;São Paulo;-23,55052;-46,63331;;
Iogurte;4,95;31;São Paulo;-23,55052;-46,63331;;
Chiclete;5,73;30;São Paulo;-23,55052;-46,63331;;
Bala;6,88;27;São Paulo;-23,55052;-46,63331;;
Iogurte;3,98;33;São Paulo;-23,55052;-46,63331;;
Queijo Processado;7,37;26;São Paulo;-23,55052;-46,63331;;
Amendoim;1,79;37;São Paulo;-23,55052;-46,63331;;
Energético;1,97;37;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;7,12;27;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,27;37;São Paulo;-23,55052;-46,63331;;
Queijo Processado;9,13;23;São Paulo;-23,55052;-46,63331;;
Energético;5,63;30;São Paulo;-23,55052;-46,63331;;
Manteiga;5,36;30;São Paulo;-23,55052;-46,63331;;
Queijo Processado;5,17;31;São Paulo;-23,55052;-46,63331;;
Energético;3,11;35;São Paulo;-23,55052;-46,63331;;
Presunto;4,42;32;São Paulo;-23,55052;-46,63331;;
Refrigerante;6,05;29;São Paulo;-23,55052;-46,63331;;
Iogurte;5,88;29;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;5,23;31;São Paulo;-23,55052;-46,63331;;
Pão de Forma;3,78;33;São Paulo;-23,55052;-46,63331;;
Manteiga;3,98;33;São Paulo;-23,55052;-46,63331;;
Sorvete;8,16;25;São Paulo;-23,55052;-46,63331;;
Queijo Processado;2,74;36;São Paulo;-23,55052;-46,63331;;
Manteiga;7,95;25;São Paulo;-23,55052;-46,63331;;
Energético;5,09;31;São Paulo;-23,55052;-46,63331;;
Chocolate;5,64;30;São Paulo;-23,55052;-46,63331;;
Energético;4;33;São Paulo;-23,55052;-46,63331;;
Suco;9,8;21;São Paulo;-23,55052;-46,63331;;
Chocolate;4,13;33;São Paulo;-23,55052;-46,63331;;
Queijo Processado;7;27;São Paulo;-23,55052;-46,63331;;
Café Solúvel;5,94;29;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,41;36;São Paulo;-23,55052;-46,63331;;
Batata Chips;7,22;27;São Paulo;-23,55052;-46,63331;;
Batata Chips;7,23;27;São Paulo;-23,55052;-46,63331;;
Chocolate;4,63;32;São Paulo;-23,55052;-46,63331;;
Pão de Forma;8,13;25;São Paulo;-23,55052;-46,63331;;
Bala;6,82;27;São Paulo;-23,55052;-46,63331;;
Chiclete;3,81;33;São Paulo;-23,55052;-46,63331;;
Suco;5,51;30;São Paulo;-23,55052;-46,63331;;
Batata Chips;4,27;33;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;6,69;28;São Paulo;-23,55052;-46,63331;;
Amendoim;8,13;25;São Paulo;-23,55052;-46,63331;;
Pão de Forma;8,41;24;São Paulo;-23,55052;-46,63331;;
Energético;8,29;24;São Paulo;-23,55052;-46,63331;;
Energético;6,74;28;São Paulo;-23,55052;-46,63331;;
Queijo Processado;3,16;35;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,93;31;São Paulo;-23,55052;-46,63331;;
Refrigerante;5,66;30;São Paulo;-23,55052;-46,63331;;
Suco;6,31;28;São Paulo;-23,55052;-46,63331;;
Pão de Forma;5,33;30;São Paulo;-23,55052;-46,63331;;
Batata Chips;6,82;27;São Paulo;-23,55052;-46,63331;;
Sorvete;7,35;26;São Paulo;-23,55052;-46,63331;;
Presunto;3,63;34;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;7,4;26;São Paulo;-23,55052;-46,63331;;
Café Solúvel;3,74;34;São Paulo;-23,55052;-46,63331;;
Bala;8,67;24;São Paulo;-23,55052;-46,63331;;
Biscoito;3;35;São Paulo;-23,55052;-46,63331;;
Café Solúvel;8,97;23;São Paulo;-23,55052;-46,63331;;
Sorvete;7,94;25;São Paulo;-23,55052;-46,63331;;
Café Solúvel;9,49;22;São Paulo;-23,55052;-46,63331;;
Manteiga;3,38;34;São Paulo;-23,55052;-46,63331;;
Presunto;6,54;28;São Paulo;-23,55052;-46,63331;;
Cereal;2,97;35;São Paulo;-23,55052;-46,63331;;
Manteiga;2,64;36;São Paulo;-23,55052;-46,63331;;
Energético;2,29;36;São Paulo;-23,55052;-46,63331;;
Sorvete;5,76;30;São Paulo;-23,55052;-46,63331;;
Iogurte;8,09;25;São Paulo;-23,55052;-46,63331;;
Presunto;6,13;29;São Paulo;-23,55052;-46,63331;;
Suco;8,87;23;São Paulo;-23,55052;-46,63331;;
Biscoito;4,49;32;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,13;33;São Paulo;-23,55052;-46,63331;;
Presunto;5,05;31;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Campinas;-22,90994;-47,06263;;
Manteiga;1,83;37;São Paulo;-23,55052;-46,63331;;
Refrigerante;5,29;30;São Paulo;-23,55052;-46,63331;;
Presunto;7,22;27;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,06;27;São Paulo;-23,55052;-46,63331;;
Bala;7,74;26;São Paulo;-23,55052;-46,63331;;
Sorvete;3,75;34;São Paulo;-23,55052;-46,63331;;
Manteiga;6,34;28;São Paulo;-23,55052;-46,63331;;
Queijo Processado;2,7;36;São Paulo;-23,55052;-46,63331;;
Iogurte;3,15;35;São Paulo;-23,55052;-46,63331;;
Chocolate;7,67;26;São Paulo;-23,55052;-46,63331;;
Bala;5,19;31;São Paulo;-23,55052;-46,63331;;
Chocolate;7,51;26;São Paulo;-23,55052;-46,63331;;
Chiclete;4,46;32;São Paulo;-23,55052;-46,63331;;
Cereal;6,4;28;São Paulo;-23,55052;-46,63331;;
Biscoito;4,55;32;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;7,06;27;São Paulo;-23,55052;-46,63331;;
Cereal;3,38;34;São Paulo;-23,55052;-46,63331;;
Chocolate;8,28;24;São Paulo;-23,55052;-46,63331;;
Bala;8,8;23;São Paulo;-23,55052;-46,63331;;
Chiclete;5,26;31;São Paulo;-23,55052;-46,63331;;
Suco;9;23;São Paulo;-23,55052;-46,63331;;
Café Solúvel;3,56;34;São Paulo;-23,55052;-46,63331;;
Suco;6,72;28;São Paulo;-23,55052;-46,63331;;
Café Solúvel;2,05;37;São Paulo;-23,55052;-46,63331;;
Presunto;7,58;26;São Paulo;-23,55052;-46,63331;;
Café Solúvel;4,34;32;São Paulo;-23,55052;-46,63331;;
Café Solúvel;7,76;26;São Paulo;-23,55052;-46,63331;;
Cereal;5,89;29;São Paulo;-23,55052;-46,63331;;
Bolacha Recheada;3,97;33;São Paulo;-23,55052;-46,63331;;
Chiclete;7,44;26;São Paulo;-23,55052;-46,63331;;
Chocolate;2,34;36;São Paulo;-23,55052;-46,63331;;
Chiclete;2,46;36;São Paulo;-23,55052;-46,63331;;
Cup Noodles;2,77;36;São Paulo;-23,55052;-46,63331;;
Queijo Processado;3,89;33;São Paulo;-23,55052;-46,63331;;
Suco;5,83;29;São Paulo;-23,55052;-46,63331;;
Cereal;6,32;28;São Paulo;-23,55052;-46,63331;;
Iogurte;4,7;32;São Paulo;-23,55052;-46,63331;;
Café Solúvel;3,88;33;São Paulo;-23,55052;-46,63331;;
Bala;5,6;30;São Paulo;-23,55052;-46,63331;;
Manteiga;6,61;28;São Paulo;-23,55052;-46,63331;;
Energético;6,6;28;São Paulo;-23,55052;-46,63331;;
Sorvete;8,48;24;São Paulo;-23,55052;-46,63331;;
Cup Noodles;4,56;32;São Paulo;-23,55052;-46,63331;;
Cup Noodles;7,25;27;São Paulo;-23,55052;-46,63331;;
Sorvete;6,43;28;São Paulo;-23,55052;-46,63331;;
Sorvete;10,18;21;São Paulo;-23,55052;-46,63331;;
Iogurte;4,4;32;São Paulo;-23,55052;-46,63331;;
Bala;4,97;31;São Paulo;-23,55052;-46,63331;;
Pão de Forma;6,74;28;São Paulo;-23,55052;-46,63331;;
Bala;8,17;25;São Paulo;-23,55052;-46,63331;;
Cereal;7,96;25;São Paulo;-23,55052;-46,63331;;
Cereal;4,05;33;São Paulo;-23,55052;-46,63331;;
Pão de Forma;3,52;34;São Paulo;-23,55052;-46,63331;;
Suco;4,69;32;São Paulo;-23,55052;-46,63331;;
Água Mineral;2;37;Campinas;-22,90994;-47,06263;;
Sorvete;4,71;32;São Paulo;-23,55052;-46,63331;;
Café Solúvel;5,77;30;São Paulo;-23,55052;-46,63331;;
